artwork_id,title,artist_id,year_created,medium,price,gallery_id
54,Forgotten Dreams,54,2016,Sculpture,3100.70,54
55,The Divine Light,55,2019,Acrylic,2650.40,55
56,Ethereal Dreams,56,2021,Oil on Canvas,6500.00,56
57,Whispering Winds,57,2010,Watercolor,830.90,57
58,Journey of the Soul,58,2014,Sculpture,2750.50,58
59,Captured in Time,59,2015,Ink on Paper,1220.80,59
60,Reflections of the Mind,60,2018,Oil on Canvas,3350.40,60
61,Beyond the Stars,61,2020,Acrylic,3700.50,61
62,The Golden Thread,62,2016,Sculpture,2990.00,62
63,Through the Looking Glass,63,2013,Charcoal,560.20,63
64,Lost in the Moment,64,2017,Oil on Canvas,4750.00,64
65,Emerging Visions,65,2018,Digital,1200.10,65
66,The Artist's Eye,66,2020,Sculpture,5100.50,66
67,Endless Horizons,67,2021,Ink on Paper,2450.20,67
68,Fading Light,68,2014,Acrylic,2900.00,68
69,Mystical Pathways,69,2019,Watercolor,1550.40,69
70,The Soul's Echo,70,2012,Oil on Canvas,600.00,70
71,Shattered Illusions,71,2015,Digital,4800.10,71
72,Reflections of Nature,72,2017,Sculpture,5400.00,72
73,The Last Whisper,73,2019,Acrylic,2100.20,73
74,Fragments of the Past,74,2021,Woodcut,1550.40,74
75,Eternal Connections,75,2010,Oil on Canvas,4100.50,75
76,Dreams of Tomorrow,76,2011,Watercolor,720.00,76
77,Hidden Reflections,77,2016,Ink on Paper,1340.90,77
78,The Fading Glow,78,2018,Sculpture,3750.00,78
79,Infinite Possibilities,79,2014,Acrylic,2700.80,79
80,Beyond Boundaries,80,2017,Digital,5000.00,80
81,The Final Light,81,2020,Oil on Canvas,3650.40,81
82,Sculpted Memories,82,2012,Sculpture,2550.20,82
83,Whispers of the Sea,83,2015,Watercolor,1440.10,83
84,Ethereal Reflections,84,2018,Charcoal,1300.00,84
85,Dancing Shadows,85,2021,Oil on Canvas,6700.30,85
86,Endless Dream,86,2013,Acrylic,3300.60,86
87,The Final Journey,87,2010,Woodcut,780.80,87
88,Serene Illusions,88,2019,Sculpture,3150.50,88
89,Beyond Time,89,2016,Oil on Canvas,2100.40,89
90,The Hidden Path,90,2011,Acrylic,2950.50,90
91,Mystical Reflections,91,2015,Digital,2400.00,91
92,The Forgotten Path,92,2018,Sculpture,4300.10,92
93,Golden Dreams,93,2013,Acrylic,2750.00,93
94,The Final Echo,94,2020,Watercolor,1680.30,94
95,Whispers of Light,95,2017,Charcoal,1300.50,95
96,Fleeting Moments,96,2021,Oil on Canvas,3100.70,96
97,Shimmering Reflections,97,2014,Acrylic,3150.20,97
98,Timeless Whispers,98,2012,Woodcut,670.10,98
99,The Last Illusion,99,2016,Digital,3200.00,99
100,Whispers of Eternity,100,2020,Sculpture,5100.00,100
